2026-05-12T10:58:39Z,Sauna,10,25
2026-05-12T10:58:39Z,Hallenbad,19,220
2026-05-12T13:05:06Z,Sauna,16,25
2026-05-12T13:05:06Z,Hallenbad,25,220
2026-05-12T15:57:58Z,Sauna,6,25
2026-05-12T15:57:58Z,Hallenbad,49,220
2026-05-12T17:58:55Z,Sauna,5,25
2026-05-12T17:58:55Z,Hallenbad,33,220
2026-05-12T19:55:50Z,Sauna,1,25
2026-05-12T19:55:50Z,Hallenbad,17,220
2026-05-13T06:42:44Z,Sauna,0,25
2026-05-13T06:42:44Z,Hallenbad,13,220
2026-05-13T09:37:12Z,Sauna,11,25
2026-05-13T09:37:12Z,Hallenbad,29,220
2026-05-13T11:56:35Z,Sauna,8,25
2026-05-13T11:56:35Z,Hallenbad,24,220
2026-05-13T14:23:47Z,Sauna,4,25
2026-05-13T14:23:47Z,Hallenbad,65,220
2026-05-13T16:37:57Z,Sauna,6,25
2026-05-13T16:37:57Z,Hallenbad,64,220
2026-05-13T18:52:53Z,Sauna,0,25
2026-05-13T18:52:53Z,Hallenbad,64,220
2026-05-15T06:50:55Z,Sauna,0,25
2026-05-15T06:50:55Z,Hallenbad,14,220
2026-05-15T09:39:57Z,Sauna,12,25
2026-05-15T09:39:57Z,Hallenbad,84,220
2026-05-15T11:48:52Z,Sauna,7,25
2026-05-15T11:48:52Z,Hallenbad,65,220
2026-05-15T13:45:35Z,Sauna,6,25
2026-05-15T13:45:35Z,Hallenbad,60,220
2026-05-15T15:58:01Z,Sauna,5,25
2026-05-15T15:58:01Z,Hallenbad,65,220
2026-05-15T17:26:58Z,Sauna,5,25
2026-05-15T17:26:58Z,Hallenbad,75,220
2026-05-15T19:04:30Z,Sauna,1,25
2026-05-15T19:04:30Z,Hallenbad,55,220
2026-05-16T08:21:59Z,Sauna,0,25
2026-05-16T08:21:59Z,Hallenbad,47,220
2026-05-16T09:54:19Z,Sauna,0,25
2026-05-16T09:54:19Z,Hallenbad,52,220
2026-05-16T10:56:02Z,Sauna,0,25
2026-05-16T10:56:02Z,Hallenbad,43,220
2026-05-16T11:45:03Z,Sauna,0,25
2026-05-16T11:45:03Z,Hallenbad,38,220
2026-05-16T13:01:54Z,Sauna,0,25
2026-05-16T13:01:54Z,Hallenbad,61,220
2026-05-16T14:37:54Z,Sauna,0,25
2026-05-16T14:37:54Z,Hallenbad,51,220
2026-05-16T15:50:14Z,Sauna,0,25
2026-05-16T15:50:14Z,Hallenbad,28,220
2026-05-17T08:58:51Z,Sauna,2,25
2026-05-17T08:58:51Z,Hallenbad,47,220
2026-05-17T10:23:35Z,Sauna,6,25
2026-05-17T10:23:35Z,Hallenbad,58,220
2026-05-17T11:36:54Z,Sauna,6,25
2026-05-17T11:36:54Z,Hallenbad,97,220
2026-05-17T12:59:51Z,Sauna,7,25
2026-05-17T12:59:51Z,Hallenbad,99,220
2026-05-17T14:26:58Z,Sauna,5,25
2026-05-17T14:26:58Z,Hallenbad,99,220
2026-05-17T15:36:22Z,Sauna,2,25
2026-05-17T15:36:22Z,Hallenbad,66,220
2026-05-19T07:37:42Z,Sauna,0,25
2026-05-19T07:37:42Z,Hallenbad,10,220
2026-05-19T10:54:42Z,Sauna,3,25
2026-05-19T10:54:42Z,Hallenbad,12,220
2026-05-19T13:52:15Z,Sauna,8,25
2026-05-19T13:52:15Z,Hallenbad,57,220
2026-05-19T16:46:09Z,Sauna,8,25
2026-05-19T16:46:09Z,Hallenbad,51,220
2026-05-19T18:54:34Z,Sauna,2,25
2026-05-19T18:54:34Z,Hallenbad,31,220
2026-05-20T07:36:29Z,Sauna,0,25
2026-05-20T07:36:29Z,Hallenbad,25,220
2026-05-20T10:42:59Z,Sauna,6,25
2026-05-20T10:42:59Z,Hallenbad,33,220
2026-05-20T16:48:35Z,Sauna,6,25
2026-05-20T16:48:35Z,Hallenbad,43,220
2026-05-20T19:15:08Z,Sauna,0,25
2026-05-20T19:15:08Z,Hallenbad,31,220
2026-05-21T07:42:49Z,Sauna,0,25
